P175	performer	performer involved in the performance or the recording of a musical work
P150	contains administrative territorial entity	(list of) direct subdivisions of an administrative territorial entity
P178	developer	organisation or person that developed the item
P57	director	director(s) of film, TV-series, stageplay, video game or similar
P159	headquarters location	specific location where an organization's headquarters is or has been situated
P740	location of formation	location where a group or organization was formed
P112	founded by	founder or co-founder of this organization, religion or place
P1532	country for sport	country a person or a team represents when playing a sport
P103	native language	language or languages a person has learned from birth
P449	original network	network(s) the radio or television show was originally aired on, including
P1441	present in work	work in which this fictional entity (Q14897293) or historical person is present
P413	position played on team / speciality	position or specialism of a player on a team, e.g. Small Forward
P4552	mountain range	range or subrange to which the geographical item belongs
P364	original language of work	language in which a film or a performance work was originally created
P400	platform	platform for which a work was developed or released, or the specific platform version of a software product
P974	tributary	stream or river that flows into this main stem (or parent) river
P58	screenwriter	person(s) who wrote the script for subject item
P47	shares border with	countries or administrative subdivisions, of equal level, that this item borders, either by land or water
P800	notable work	notable scientific, artistic or literary work, or other work of significance among subject's works
P403	mouth of the watercourse	the body of water to which the watercourse drains
P1303	instrument	musical instrument that a person plays
P641	sport	sport in which the subject participates or belongs to
P137	operator	person or organization that operates the equipment, facility, or service; use country for diplomatic missions
P1412	languages spoken, written or signed	language(s) that a person speaks or writes, including the native language(s)
P106	occupation	occupation of a person
P131	located in the administrative territorial entity	the item is located on the territory of the following administrative entity
P241	military branch	branch to which this military unit, award, office, or person belongs, e.g. Royal Navy
P136	genre	creative work's genre or an artist's field of work (P101)
P36	capital	primary city of a country, state or other type of administrative territorial entity
P206	located in or next to body of water	sea, lake or river
P30	continent	continent of which the subject is a part
P26	spouse	the subject has the object as their spouse (husband, wife, partner, etc.)
P162	producer	person(s) who produced the film, musical work, theatrical production, etc
P17	country	sovereign state of this item; don't use on humans
P127	owned by	owner of the subject
P40	child	subject has the object in their family as their offspring son or daughter (independently of their age)
P19	place of birth	most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character
P123	publisher	organization or person responsible for publishing books, periodicals, games or software
P22	father	male parent of the subject
P179	series	subject is part of a series, the sum of which constitutes the object
P27	country of citizenship	the object is a country that recognizes the subject as its citizen
P495	country of origin	country of origin of this item (creative work, food, phrase, product, etc.)
P749	parent organization	parent organization of an organisation, opposite of subsidiaries (P355)
P59	constellation	the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)
P607	conflict	battles, wars or other military engagements in which the person or item participated
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat
